Month	Day	Year
5	15	1530
2	15	1757
9	30	1764
2	26	1709
10	26	1909
4	17	1530
1	7	1928
11	12	1893
6	18	1768
2	1	1978
5	7	1997
1	28	1842
6	17	1886
9	25	1886
5	11	1758
1	10	1646
2	3	1509
9	7	1638
12	24	1751
8	29	1861
12	29	2008
10	7	1940
10	13	1919
3	14	1886
12	29	1505
11	20	1725
3	30	1577
2	20	1689
9	21	1563
9	12	1547
1	10	1932
7	19	1614
9	4	1781
10	8	1685
1	30	1559
10	30	1566
4	7	1646
3	3	1667
7	3	1634
3	31	1589
7	14	1713
10	13	1560
7	15	1728
6	27	1571
6	24	1709
5	26	1567
8	8	1540
8	9	1881
11	10	1770
6	3	2012
5	3	1856
3	22	1738
12	12	1771
4	4	2000
4	12	1861
10	15	1864
5	14	1589
1	4	1899
3	31	1802
1	30	1712
6	5	1899
4	23	1867
1	10	1845
4	1	1619
3	10	1520
10	12	1740
6	21	2018
3	1	1935
4	22	1706
4	7	1611
12	13	1777
2	23	1794
11	23	1603
8	20	1714
12	3	2011
3	29	1984
7	5	1589
3	21	1982
12	4	1761
6	10	1955
5	5	1711
3	16	1684
2	15	1604
12	2	1603
11	25	1896
1	16	1514
2	22	1757
3	19	1585
3	28	1650
12	12	1961
1	1	1612
10	15	1936
1	10	1999
5	30	1711
3	24	1643
4	25	1761
2	20	1531
4	15	1730
6	9	2015
7	2	2012
